,name,ratio,num_matches_2016-2019,ratio_2016-2019,num_matches_2020-2021,ratio_2020-2021,hand,gender,ioc,birth,ht,minutes,perc_ace,serv_won_tot_seve,bpFaced,perc_df,perc_2ndwon,perc_v_ace,perc_v_df,perc_v_1stwon
73,ALEJANDRO DAVIDOVICH FOKINA,0.6130653266331658,130.0,0.6307692307692307,69.0,0.5797101449275363,R,M,ESP,1999.0,183.0,96.90222482435597,5.0,0.6050455208840086,1345.0,6.0,49.0,9.0,6.0,65.0
74,ALEJANDRO FALLA,0.43661971830985913,71.0,0.43661971830985913,0.0,0.0,L,M,COL,1984.0,185.0,93.00604838709677,6.0,0.5848281016442451,548.0,7.0,49.0,11.0,8.0,68.0
75,ALEJANDRO GOMEZ GB42,0.453125,59.0,0.4576271186440678,5.0,0.4,U,M,COL,1991.0,188.0,91.44630541871922,17.0,0.6308492201039861,386.0,12.0,53.0,12.0,9.0,72.0
76,ALEJANDRO GONZALEZ,0.4587628865979381,178.0,0.449438202247191,16.0,0.5625,R,M,COL,1989.0,188.0,93.98903156768326,6.0,0.5936263736263736,1385.0,5.0,48.0,9.0,8.0,69.0
78,ALEJANDRO TABILO,0.5514705882352942,60.0,0.5333333333333333,76.0,0.5657894736842105,L,M,CHI,1997.0,185.0,91.2727868852459,9.0,0.6099048026526901,920.0,9.0,47.0,10.0,7.0,68.0
79,ALEKSANDAR KOVACEVIC,0.42105263157894735,16.0,0.25,22.0,0.5454545454545454,U,M,USA,1998.0,187.53125,98.46306818181819,17.0,0.6448629005616121,227.0,9.0,52.0,18.0,7.0,75.0
80,ALEKSANDAR VUKIC,0.5274725274725275,114.0,0.5087719298245614,68.0,0.5588235294117647,R,M,AUS,1996.0,187.07692307692307,91.14898255813954,19.0,0.6349458702399879,1074.0,7.0,49.0,12.0,7.0,71.0
81,ALEKSANDR NEDOVYESOV,0.5114155251141552,204.0,0.5147058823529411,15.0,0.4666666666666667,R,M,KAZ,1987.0,188.4,93.53179238985314,8.0,0.6195448978276284,1409.0,5.0,48.0,8.0,7.0,69.0
84,ALEKSANDRA KRUNIC,0.5527426160337553,194.0,0.5360824742268041,43.0,0.627906976744186,R,F,SRB,1993.0,176.25,78.55401123433674,5.0,0.5551456054816182,1660.0,5.0,48.0,5.0,8.0,60.0
90,ALEKSANDRA WOZNIAK,0.4927536231884058,69.0,0.4927536231884058,0.0,0.0,R,F,CAN,1987.0,175.0,64.02689075630252,0.0,0.4237455551165547,520.0,12.0,29.0,3.0,7.0,54.0
92,ALEKSANDRE METREVELI,0.3225806451612903,25.0,0.36,6.0,0.16666666666666666,R,M,GEO,1993.0,185.0,117.17142857142858,4.0,0.55908203125,226.0,9.0,44.0,10.0,6.0,72.0
93,ALEKSANDRINA NAYDENOVA,0.5255102040816326,196.0,0.5255102040816326,0.0,0.0,R,F,BUL,1992.0,180.0,65.40463513936737,8.0,0.4406184592532577,1629.0,12.0,44.0,3.0,6.0,40.0
94,ALEN AVIDZBA,0.36,46.0,0.34782608695652173,4.0,0.5,R,M,RUS,2000.0,187.26666666666668,99.09722222222223,11.0,0.6158365976496922,343.0,9.0,50.0,12.0,7.0,73.0
101,ALESSANDRO BEGA,0.3716216216216216,125.0,0.392,23.0,0.2608695652173913,R,M,ITA,1991.0,185.7058823529412,87.13704789833822,3.0,0.579472488392769,1096.0,6.0,47.0,16.0,7.0,71.0
102,ALESSANDRO GIANNESSI,0.5346534653465347,232.0,0.5387931034482759,71.0,0.5211267605633803,L,M,ITA,1990.0,183.0,104.28749671657474,5.0,0.6076094632768362,2194.0,7.0,51.0,8.0,7.0,68.0
103,ALESSANDRO PETRONE,0.35,20.0,0.35,0.0,0.0,R,M,ITA,1991.0,185.7058823529412,103.07142857142857,5.0,0.5834983498349835,176.0,5.0,44.0,12.0,9.0,70.0
110,ALEX BOLT,0.5669642857142857,176.0,0.5795454545454546,48.0,0.5208333333333334,L,M,AUS,1993.0,187.07692307692307,89.56506209919635,16.0,0.6450032853473509,1394.0,6.0,51.0,11.0,7.0,71.0
111,ALEX DE MINAUR,0.60546875,197.0,0.6142131979695431,59.0,0.576271186440678,R,M,AUS,1999.0,183.0,105.21015649952092,8.0,0.6336623536030277,1601.0,6.0,53.0,10.0,7.0,70.0
112,ALEX KUZNETSOV,0.6551724137931034,29.0,0.6551724137931034,0.0,0.0,R,M,USA,1987.0,183.0,112.13684210526316,14.0,0.6489504242965609,175.0,3.0,50.0,11.0,9.0,71.0
113,ALEX LAWSON,0.16666666666666666,17.0,0.17647058823529413,1.0,0.0,L,M,USA,1994.0,191.0,79.1,11.0,0.5720164609053497,140.0,10.0,44.0,8.0,9.0,72.0
114,ALEX MOLCAN,0.5838926174496645,79.0,0.5316455696202531,70.0,0.6428571428571429,L,M,SVK,1998.0,189.28571428571428,98.47163515016686,6.0,0.5998493550513134,1068.0,7.0,50.0,7.0,7.0,64.0
115,ALEX RYBAKOV,0.5,47.0,0.44680851063829785,17.0,0.6470588235294118,U,M,USA,1997.0,187.53125,97.109375,9.0,0.6438116100766703,350.0,4.0,53.0,9.0,8.0,71.0
116,ALEXA GLATCH,0.47435897435897434,51.0,0.5294117647058824,27.0,0.37037037037037035,R,F,USA,1989.0,173.1818181818182,63.9228740936058,5.0,0.5595471369475289,559.0,4.0,55.0,4.0,8.0,57.0
118,ALEXA GUARACHI,0.4155844155844156,76.0,0.42105263157894735,1.0,0.0,U,F,USA,1990.0,173.1818181818182,66.00659722222223,4.0,0.5341055341055341,734.0,9.0,43.0,4.0,7.0,52.0
119,ALEXA NOEL,0.5882352941176471,23.0,0.5217391304347826,11.0,0.7272727272727273,U,F,USA,2002.0,173.1818181818182,60.60714285714286,0.0,0.20105313547151749,84.0,3.0,29.0,3.0,5.0,29.0
123,ALEXANDAR LAZAROV,0.391304347826087,14.0,0.2857142857142857,9.0,0.5555555555555556,R,M,BUL,1998.0,188.0,82.57142857142857,7.0,0.5928877988963825,182.0,8.0,50.0,12.0,7.0,71.0
124,ALEXANDAR LAZOV,0.5161290322580645,31.0,0.5161290322580645,0.0,0.0,U,M,BUL,1990.0,188.0,84.63125,10.0,0.6015424164524421,221.0,9.0,48.0,6.0,10.0,68.0
125,ALEXANDER BABANINE,0.4117647058823529,17.0,0.4117647058823529,0.0,0.0,R,M,AUS,1994.0,187.07692307692307,96.97142857142856,6.0,0.5940347970173985,117.0,6.0,51.0,10.0,8.0,72.0
126,ALEXANDER BROWN,0.4375,14.0,0.5,2.0,0.0,U,M,USA,1999.0,187.53125,78.02380952380952,18.0,0.6642984014209592,65.0,8.0,54.0,15.0,8.0,77.0
127,ALEXANDER BUBLIK,0.5732484076433121,235.0,0.5914893617021276,79.0,0.5189873417721519,R,M,KAZ,1997.0,196.0,87.67773631840797,24.0,0.6303467098810184,1903.0,14.0,46.0,8.0,6.0,70.0
128,ALEXANDER BURY,0.3793103448275862,29.0,0.3793103448275862,0.0,0.0,R,M,BLR,1987.0,194.5,68.28535353535354,13.0,0.607687959299039,165.0,7.0,48.0,7.0,9.0,72.0
129,ALEXANDER COZBINOV,0.18181818181818182,4.0,0.0,7.0,0.2857142857142857,R,M,MDA,1995.0,175.0,79.94444444444444,6.0,0.54521625163827,88.0,12.0,39.0,9.0,8.0,70.0
130,ALEXANDER CRNOKRAK,0.38461538461538464,8.0,0.375,5.0,0.4,R,M,AUS,2000.0,187.07692307692307,82.0,18.0,0.6144306651634723,76.0,11.0,50.0,13.0,10.0,70.0
131,ALEXANDER ERLER,0.4411764705882353,17.0,0.4117647058823529,17.0,0.47058823529411764,U,M,AUT,1997.0,185.2,97.34210526315789,15.0,0.6109227871939736,249.0,10.0,48.0,11.0,8.0,70.0
132,ALEXANDER KUDRYAVTSEV,0.43373493975903615,83.0,0.43373493975903615,0.0,0.0,R,M,RUS,1985.0,183.0,83.27482269503545,15.0,0.6083939752919275,539.0,7.0,49.0,12.0,6.0,70.0
133,ALEXANDER RITSCHARD,0.4943820224719101,51.0,0.47058823529411764,38.0,0.5263157894736842,R,M,SUI,1994.0,182.83333333333331,101.54444444444445,10.0,0.5952815829528159,684.0,8.0,48.0,9.0,8.0,67.0
134,ALEXANDER SARKISSIAN,0.4918032786885246,174.0,0.4827586206896552,9.0,0.6666666666666666,R,M,USA,1990.0,187.53125,87.09767025089606,14.0,0.6204131227217496,1064.0,7.0,51.0,14.0,8.0,71.0
135,ALEXANDER SHEVCHENKO,0.7272727272727273,0.0,0.0,11.0,0.7272727272727273,U,M,RUS,2001.0,187.26666666666668,98.3125,10.0,0.6201044386422977,61.0,8.0,52.0,4.0,7.0,59.0
136,ALEXANDER VASILENKO,0.5714285714285714,21.0,0.5714285714285714,0.0,0.0,R,M,RUS,1995.0,187.26666666666668,99.55555555555556,8.0,0.6222371064969859,140.0,10.0,53.0,8.0,9.0,70.0
137,ALEXANDER WARD,0.4647887323943662,71.0,0.4647887323943662,0.0,0.0,U,M,GBR,1990.0,183.42857142857144,91.76555023923444,12.0,0.6233688014454929,470.0,9.0,49.0,10.0,7.0,72.0
138,ALEXANDER ZHURBIN,0.37333333333333335,73.0,0.3835616438356164,2.0,0.0,U,M,RUS,1992.0,187.26666666666668,82.79787234042553,7.0,0.5722989439480097,539.0,6.0,47.0,8.0,8.0,69.0
139,ALEXANDER ZVEREV,0.702247191011236,270.0,0.6851851851851852,86.0,0.7558139534883721,R,M,GER,1997.0,198.0,115.91754716981131,16.0,0.6561230208771193,2018.0,8.0,50.0,9.0,6.0,68.0
140,ALEXANDR DOLGOPOLOV,0.5257731958762887,97.0,0.5257731958762887,0.0,0.0,R,M,UKR,1989.0,180.0,92.95481670929242,16.0,0.6402985074626866,587.0,7.0,51.0,16.0,7.0,72.0
141,ALEXANDR IGOSHIN,0.2608695652173913,21.0,0.2857142857142857,2.0,0.0,U,M,RUS,1992.0,187.26666666666668,84.9656862745098,15.0,0.5544615384615385,190.0,18.0,40.0,11.0,12.0,72.0
143,ALEXANDRA BOZOVIC,0.4262295081967213,106.0,0.42452830188679247,16.0,0.4375,U,F,AUS,1999.0,170.85714285714286,60.292857142857144,0.0,0.23067860508953816,634.0,5.0,23.0,3.0,5.0,41.0
144,ALEXANDRA CADANTU,0.532520325203252,193.0,0.49740932642487046,53.0,0.660377358490566,R,F,ROU,1990.0,170.0,69.69356123464985,0.0,0.4818688581116028,2326.0,8.0,30.0,3.0,7.0,51.0
147,ALEXANDRA DULGHERU,0.5735294117647058,114.0,0.5701754385964912,22.0,0.5909090909090909,R,F,ROU,1989.0,173.71428571428572,76.52431476569407,1.0,0.5541337487481919,1161.0,7.0,42.0,3.0,8.0,53.0
148,ALEXANDRA EALA,0.5454545454545454,0.0,0.0,33.0,0.5454545454545454,U,F,PHL,2005.0,172.13719297606002,64.00555555555556,3.0,0.44764649375600385,279.0,20.0,41.0,2.0,6.0,35.0
154,ALEXANDRA MOROZOVA,0.42105263157894735,38.0,0.42105263157894735,0.0,0.0,R,F,USA,1995.0,173.1818181818182,60.36363636363636,3.0,0.292358803986711,198.0,8.0,22.0,3.0,3.0,27.0
157,ALEXANDRA PANOVA,0.47191011235955055,89.0,0.47191011235955055,0.0,0.0,R,F,RUS,1989.0,165.3125,71.12158054711247,6.0,0.5639843531712769,533.0,4.0,41.0,4.0,7.0,47.0
160,ALEXANDRA RILEY,0.19791666666666666,88.0,0.19318181818181818,8.0,0.25,U,F,USA,1991.0,173.1818181818182,60.05844155844156,2.0,0.3917064899028827,924.0,2.0,32.0,1.0,2.0,13.0
164,ALEXANDRA STEVENSON,0.3333333333333333,24.0,0.3333333333333333,0.0,0.0,R,F,USA,1981.0,173.1818181818182,62.75,9.0,0.45786516853932585,176.0,12.0,39.0,3.0,5.0,39.0
165,ALEXANDRA VAGRAMOV,0.4444444444444444,18.0,0.4444444444444444,0.0,0.0,U,F,CAN,2001.0,172.75,65.25,6.0,0.3552215189873418,119.0,10.0,32.0,2.0,3.0,27.0
167,ALEXANDRA VECIC,0.40816326530612246,14.0,0.21428571428571427,35.0,0.4857142857142857,U,F,GER,2002.0,176.5,61.12068965517241,4.0,0.29954809554551326,435.0,0.0,30.0,2.0,5.0,37.0
171,ALEXANDRE MULLER,0.5081081081081081,116.0,0.5086206896551724,69.0,0.5072463768115942,R,M,FRA,1997.0,186.96153846153845,94.9348842646715,5.0,0.593513185813883,1300.0,5.0,48.0,9.0,6.0,67.0
172,ALEXANDRE PENAUD,0.4166666666666667,12.0,0.4166666666666667,0.0,0.0,U,M,FRA,1987.0,186.96153846153845,74.72857142857143,12.0,0.6149584487534626,73.0,5.0,49.0,15.0,6.0,71.0
173,ALEXANDRE SIDORENKO,0.4634146341463415,41.0,0.4634146341463415,0.0,0.0,R,M,FRA,1988.0,186.96153846153845,81.5346889952153,16.0,0.6338624338624339,225.0,11.0,48.0,13.0,7.0,73.0
174,ALEXEI POPYRIN,0.5491071428571429,152.0,0.5657894736842105,72.0,0.5138888888888888,R,M,AUS,1999.0,196.0,101.17950575545359,16.0,0.6407922605758772,1410.0,8.0,50.0,12.0,7.0,72.0
175,ALEXEY VATUTIN,0.45075757575757575,212.0,0.5047169811320755,52.0,0.23076923076923078,R,M,RUS,1992.0,187.26666666666668,93.95540423065778,3.0,0.583468650149285,2025.0,7.0,49.0,12.0,7.0,67.0
176,ALEXEY ZAKHAROV,0.35294117647058826,8.0,0.375,9.0,0.3333333333333333,R,M,RUS,2000.0,187.26666666666668,83.31818181818181,14.0,0.6177536231884058,110.0,7.0,50.0,8.0,8.0,73.0
177,ALEXIOS HALEBIAN,0.39285714285714285,28.0,0.39285714285714285,0.0,0.0,L,M,USA,1994.0,187.53125,80.77807486631016,16.0,0.6118671747414263,180.0,8.0,48.0,9.0,8.0,71.0
178,ALEXIS GALARNEAU,0.5084745762711864,39.0,0.46153846153846156,20.0,0.6,R,M,CAN,1999.0,188.57142857142856,97.66954022988506,7.0,0.600096015362458,421.0,9.0,51.0,11.0,9.0,67.0
179,ALEXIS GAUTIER,0.26666666666666666,14.0,0.2857142857142857,1.0,0.0,U,M,FRA,1997.0,186.96153846153845,73.63636363636363,9.0,0.5828092243186582,101.0,7.0,43.0,16.0,9.0,73.0
181,ALEXIS MUSIALEK,0.42105263157894735,19.0,0.42105263157894735,0.0,0.0,U,M,FRA,1988.0,186.96153846153845,100.5284090909091,5.0,0.5963817841547099,172.0,4.0,48.0,10.0,7.0,69.0
183,ALIAKSANDRA SASNOVICH,0.5340909090909091,201.0,0.5124378109452736,63.0,0.6031746031746031,R,F,BLR,1994.0,177.25,95.44196505794845,5.0,0.5518663310662454,2181.0,10.0,43.0,7.0,9.0,62.0
196,ALICIA BARNETT,0.4391891891891892,117.0,0.4358974358974359,31.0,0.45161290322580644,U,F,GBR,1993.0,177.71428571428572,59.93975903614458,1.0,0.12515078407720145,581.0,6.0,12.0,2.0,3.0,25.0
201,ALINA CHARAEVA,0.5974025974025974,19.0,0.631578947368421,58.0,0.5862068965517241,R,F,RUS,2002.0,165.3125,60.98527349228611,2.0,0.5564549605645496,539.0,9.0,37.0,2.0,5.0,24.0
210,ALIONA BOLSOVA,0.5739644970414202,118.0,0.6186440677966102,51.0,0.47058823529411764,R,F,MDA,1997.0,172.13719297606002,74.98940435280642,4.0,0.5134038660408877,1220.0,4.0,42.0,3.0,6.0,51.0
212,ALISA KLEYBANOVA,0.6818181818181818,22.0,0.6818181818181818,0.0,0.0,R,F,RUS,1989.0,181.0,67.36666666666667,13.0,0.6469282013323464,131.0,9.0,75.0,4.0,7.0,44.0
218,ALISON BAI,0.37410071942446044,136.0,0.38235294117647056,3.0,0.0,R,F,AUS,1990.0,170.85714285714286,61.12732095490716,9.0,0.4640061841723838,943.0,5.0,39.0,3.0,5.0,45.0
219,ALISON RISKE,0.5308641975308642,217.0,0.5529953917050692,26.0,0.34615384615384615,R,F,USA,1990.0,173.0,101.01795185638515,4.0,0.5660734149054505,1949.0,8.0,46.0,9.0,8.0,63.0
220,ALISON VAN UYTVANCK,0.564,204.0,0.5833333333333334,46.0,0.4782608695652174,R,F,BEL,1994.0,173.0,96.44814236449997,8.0,0.5869651012008795,1840.0,6.0,49.0,4.0,8.0,61.0
221,ALIZE CORNET,0.5180722891566265,192.0,0.5208333333333334,57.0,0.5087719298245614,R,F,FRA,1990.0,173.0,101.86656976744186,3.0,0.5568436154949785,2106.0,9.0,43.0,3.0,8.0,61.0
222,ALIZE LIM,0.4713375796178344,146.0,0.4657534246575342,11.0,0.5454545454545454,R,F,FRA,1990.0,173.36363636363637,64.25382611527189,0.0,0.4390817064352856,1211.0,7.0,23.0,3.0,7.0,49.0
223,ALJAZ BEDENE,0.5737051792828686,193.0,0.5906735751295337,58.0,0.5172413793103449,R,M,SLO,1989.0,181.0,111.15722352024923,18.0,0.6415315590904456,1604.0,6.0,50.0,11.0,6.0,70.0
224,ALLA KUDRYAVTSEVA,0.46835443037974683,79.0,0.46835443037974683,0.0,0.0,R,F,RUS,1987.0,165.3125,76.5019305019305,5.0,0.49301101792468344,687.0,10.0,41.0,4.0,7.0,55.0
225,ALLIE KIICK,0.5672514619883041,147.0,0.6054421768707483,24.0,0.3333333333333333,R,F,USA,1995.0,173.1818181818182,66.00745332961827,4.0,0.4527959958577839,1222.0,7.0,39.0,4.0,7.0,51.0
229,ALONA FOMINA,0.48717948717948717,115.0,0.4956521739130435,2.0,0.0,R,F,UKR,1989.0,173.75,60.45,1.0,0.38430185163619424,960.0,12.0,20.0,2.0,4.0,25.0
232,ALTUG CELIKBILEK,0.5873015873015873,61.0,0.5081967213114754,65.0,0.6615384615384615,U,M,TUR,1996.0,190.0,86.43555093555094,14.0,0.6171620863712843,769.0,9.0,48.0,11.0,7.0,69.0
233,ALYCIA PARKS,0.496,72.0,0.4722222222222222,53.0,0.5283018867924528,U,F,USA,2001.0,173.1818181818182,62.20506912442396,16.0,0.6807277628032345,889.0,22.0,70.0,3.0,7.0,47.0
238,AMAL SULTANBEKOV,0.18181818181818182,11.0,0.18181818181818182,0.0,0.0,U,M,UZB,1999.0,192.0,93.97222222222223,6.0,0.5366430260047281,113.0,19.0,45.0,17.0,9.0,73.0
239,AMANDA ANISIMOVA,0.6266666666666667,106.0,0.6698113207547169,44.0,0.5227272727272727,R,F,USA,2001.0,180.0,80.51329787234042,3.0,0.5821453846931554,1120.0,8.0,47.0,5.0,9.0,61.0
240,AMANDA CARRERAS,0.6280193236714976,148.0,0.6554054054054054,59.0,0.559322033898305,R,F,GBR,1990.0,177.71428571428572,60.9000999000999,1.0,0.6582081088743975,2615.0,11.0,59.0,2.0,4.0,34.0
241,AMANDA RODGERS,0.45161290322580644,62.0,0.45161290322580644,0.0,0.0,L,F,USA,1993.0,173.1818181818182,60.63235294117647,2.0,0.2505263157894737,476.0,7.0,19.0,2.0,4.0,26.0
243,AMANDINE HESSE,0.5018181818181818,201.0,0.47761194029850745,74.0,0.5675675675675675,R,F,FRA,1993.0,173.36363636363637,68.98000634719136,8.0,0.5440546604119927,2344.0,10.0,54.0,4.0,7.0,52.0
245,AMARISSA KIARA TOTH,0.35714285714285715,2.0,0.0,12.0,0.4166666666666667,U,F,HUN,2003.0,175.5,63.22222222222222,0.0,0.35664335664335667,99.0,8.0,31.0,2.0,4.0,26.0
246,AMARNI BANKS,0.46153846153846156,3.0,0.3333333333333333,23.0,0.4782608695652174,R,F,GBR,2002.0,177.71428571428572,61.57142857142857,0.0,0.3867867867867868,84.0,7.0,27.0,1.0,2.0,16.0
247,AMBER MARSHALL,0.5869565217391305,29.0,0.5862068965517241,17.0,0.5882352941176471,U,F,AUS,2001.0,170.85714285714286,60.131578947368425,0.0,0.10662925289372151,304.0,9.0,14.0,2.0,4.0,30.0
255,AMINA ANSHBA,0.6,188.0,0.6170212765957447,57.0,0.543859649122807,L,F,RUS,1999.0,165.3125,60.715986394557824,3.0,0.4456230329875277,2151.0,4.0,43.0,2.0,5.0,34.0
258,AMINE AHOUDA,0.18181818181818182,11.0,0.18181818181818182,0.0,0.0,U,M,MAR,1997.0,185.0,87.88888888888889,2.0,0.5351681957186545,76.0,13.0,42.0,8.0,7.0,76.0
259,AMIR WEINTRAUB,0.3870967741935484,61.0,0.39344262295081966,1.0,0.0,R,M,ISR,1986.0,188.0,76.79605263157895,8.0,0.5777364629328375,439.0,4.0,46.0,15.0,8.0,73.0
262,AMRA SADIKOVIC,0.452991452991453,117.0,0.452991452991453,0.0,0.0,R,F,SUI,1989.0,171.33333333333334,68.77550117924528,8.0,0.5554544420429985,889.0,9.0,49.0,4.0,8.0,54.0
264,AN SOPHIE MESTACH,0.47706422018348627,109.0,0.47706422018348627,0.0,0.0,R,F,BEL,1994.0,174.8,61.62280701754386,0.0,0.24629924846276474,741.0,6.0,20.0,3.0,6.0,42.0
266,ANA BISKIC,0.3584905660377358,53.0,0.3584905660377358,0.0,0.0,U,F,CRO,1999.0,180.0,61.06191950464397,2.0,0.46750700280112045,542.0,20.0,40.0,1.0,3.0,22.0
