,name,ratio,num_matches_2016-2019,ratio_2016-2019,num_matches_2020-2021,ratio_2020-2021,hand,gender,ioc,birth,ht,minutes,perc_ace,serv_won_tot_seve,bpFaced,perc_df,perc_2ndwon,perc_v_ace,perc_v_df,perc_v_1stwon
0,AARON ADDISON,0.18181818181818182,10.0,0.2,1.0,0.0,R,M,AUS,1996.0,187.07692307692307,86.69444444444444,15.0,0.5878552971576227,83.0,12.0,48.0,9.0,6.0,76.0
1,ABBIE MYERS,0.47770700636942676,142.0,0.4788732394366197,15.0,0.4666666666666667,R,F,AUS,1994.0,170.85714285714286,61.6219512195122,1.0,0.27925578160319947,819.0,5.0,22.0,3.0,5.0,40.0
2,ABHINAV SANJEEV SHANMUGAM,0.5,13.0,0.46153846153846156,3.0,0.6666666666666666,U,M,IND,1998.0,183.8,86.875,21.0,0.6137012369172217,111.0,11.0,52.0,7.0,10.0,71.0
4,ABIGAIL TERE APISAH,0.5887096774193549,111.0,0.5765765765765766,13.0,0.6923076923076923,U,F,PNG,1992.0,172.13719297606002,62.577625570776256,3.0,0.5912602607436022,1055.0,11.0,54.0,4.0,8.0,53.0
5,ABIR EL FAHIMI,0.15384615384615385,13.0,0.15384615384615385,0.0,0.0,U,F,MAR,1995.0,172.13719297606002,59.40909090909091,0.0,0.1895424836601307,110.0,16.0,17.0,1.0,3.0,12.0
6,ADAM EL MIHDAWY,0.2608695652173913,23.0,0.2608695652173913,0.0,0.0,U,M,USA,1989.0,187.53125,61.33823529411765,13.0,0.5655526992287918,127.0,22.0,42.0,10.0,11.0,73.0
7,ADAM PAVLASEK,0.5440414507772021,189.0,0.5502645502645502,4.0,0.25,R,M,CZE,1994.0,190.375,90.72916666666666,10.0,0.6169799092676604,1287.0,6.0,51.0,6.0,7.0,67.0
10,ADELCHI VIRGILI,0.4482758620689655,29.0,0.4482758620689655,0.0,0.0,U,M,ITA,1990.0,185.7058823529412,87.79567307692308,9.0,0.5862580326248147,211.0,13.0,45.0,5.0,8.0,65.0
19,ADRIAN ANDREEV,0.4,4.0,0.0,26.0,0.46153846153846156,R,M,BUL,2001.0,188.0,100.30555555555556,3.0,0.5690531177829099,224.0,7.0,48.0,10.0,6.0,70.0
20,ADRIAN BODMER,0.2777777777777778,18.0,0.2777777777777778,0.0,0.0,R,M,SUI,1995.0,182.83333333333331,81.1,12.0,0.6115965051628276,132.0,6.0,49.0,9.0,9.0,73.0
21,ADRIAN MANNARINO,0.5276872964169381,245.0,0.5510204081632653,62.0,0.43548387096774194,L,M,FRA,1988.0,183.0,104.61238825031928,10.0,0.625798929003282,2012.0,6.0,52.0,13.0,6.0,70.0
22,ADRIAN MENENDEZ MACEIRAS,0.5052264808362369,247.0,0.5263157894736842,40.0,0.375,R,M,ESP,1985.0,182.65217391304347,101.60473530840213,9.0,0.6251333786012222,1781.0,5.0,51.0,14.0,7.0,71.0
23,ADRIAN UNGUR,0.4626865671641791,67.0,0.4626865671641791,0.0,0.0,R,M,ROU,1985.0,178.0,91.5206093189964,4.0,0.6096859796550199,444.0,7.0,54.0,10.0,6.0,70.0
27,ADRIEN BOSSEL,0.46,50.0,0.46,0.0,0.0,L,M,SUI,1987.0,182.83333333333331,84.7842190016103,15.0,0.6266406031834683,299.0,8.0,50.0,15.0,8.0,72.0
29,ADRIENN NAGY,0.45555555555555555,43.0,0.46511627906976744,47.0,0.44680851063829785,R,F,HUN,2001.0,175.5,61.475111996017915,8.0,0.9499916093304246,1113.0,15.0,94.0,1.0,3.0,18.0
34,AGNES BUKTA,0.5508982035928144,167.0,0.5508982035928144,0.0,0.0,R,F,HUN,1993.0,175.5,60.16594202898551,3.0,0.3949321124092201,1043.0,7.0,31.0,2.0,4.0,29.0
35,AGNIESZKA RADWANSKA,0.6474820143884892,139.0,0.6474820143884892,0.0,0.0,R,F,POL,1989.0,170.0,99.08605442176871,5.0,0.5754006155152287,1043.0,4.0,46.0,5.0,8.0,60.0
37,AGUSTIN VELOTTI,0.4838709677419355,124.0,0.4838709677419355,31.0,0.4838709677419355,R,M,ARG,1992.0,184.5,98.6,10.0,0.605778871570504,1043.0,6.0,51.0,10.0,7.0,70.0
42,AIDAN MCHUGH,0.35294117647058826,5.0,0.0,12.0,0.5,U,M,GBR,2000.0,183.42857142857144,116.27272727272728,8.0,0.587603305785124,126.0,6.0,46.0,9.0,7.0,71.0
47,AJLA TOMLJANOVIC,0.5315315315315315,166.0,0.5542168674698795,56.0,0.4642857142857143,R,F,AUS,1993.0,180.0,91.496740547588,7.0,0.5682739972960793,1800.0,10.0,44.0,7.0,9.0,62.0
49,AKARI INOUE,0.3333333333333333,36.0,0.3333333333333333,0.0,0.0,U,F,JPN,1988.0,163.83333333333334,60.35416666666667,0.0,0.3473098330241187,360.0,19.0,33.0,1.0,4.0,26.0
50,AKGUL AMANMURADOVA,0.44881889763779526,106.0,0.4528301886792453,21.0,0.42857142857142855,R,F,UZB,1984.0,172.13719297606002,62.812155388471176,6.0,0.4749886826618379,1041.0,6.0,29.0,3.0,7.0,45.0
54,AKIKO OMAE,0.5074626865671642,184.0,0.5271739130434783,17.0,0.29411764705882354,R,F,JPN,1993.0,163.83333333333334,61.80496137849079,1.0,0.4173728813559322,991.0,2.0,39.0,3.0,7.0,48.0
56,AKIRA SANTILLAN,0.4978165938864629,192.0,0.5052083333333334,37.0,0.4594594594594595,R,M,AUS,1997.0,187.07692307692307,88.7067887109077,13.0,0.6310896468457591,1375.0,7.0,51.0,8.0,7.0,69.0
58,ALANA PARNABY,0.36046511627906974,59.0,0.3389830508474576,27.0,0.4074074074074074,U,F,AUS,1994.0,170.85714285714286,60.20909090909091,6.0,0.26648209032704623,605.0,15.0,24.0,1.0,3.0,24.0
65,ALBERT MONTANES,0.5,52.0,0.5,0.0,0.0,R,M,ESP,1981.0,175.0,89.5,9.0,0.6129211918685603,318.0,9.0,50.0,11.0,7.0,70.0
66,ALBERT RAMOS,0.5016393442622951,245.0,0.5102040816326531,60.0,0.4666666666666667,L,M,ESP,1988.0,188.0,116.28201324389406,7.0,0.6209217807879739,2179.0,5.0,52.0,12.0,6.0,70.0
67,ALBERTA BRIANTI,0.4489795918367347,49.0,0.4489795918367347,0.0,0.0,R,F,ITA,1980.0,166.83333333333334,61.77777777777778,0.0,0.2992084432717678,271.0,2.0,21.0,3.0,5.0,40.0
69,ALDILA SUTJIADI,0.6013071895424836,116.0,0.6206896551724138,37.0,0.5405405405405406,R,F,INA,1995.0,172.13719297606002,64.54944761225944,3.0,0.5416039156626506,1063.0,6.0,53.0,2.0,6.0,40.0
70,ALDIN SETKIC,0.4124293785310734,172.0,0.4186046511627907,5.0,0.2,R,M,BIH,1988.0,193.0,95.47596153846155,13.0,0.6277992277992278,1087.0,8.0,47.0,19.0,7.0,74.0
