,num_matches,ratio,ratio_2016-2019,num_matches_2020-2021,ratio_2020-2021,birth,ht,minutes,perc_ace,_1stwon_1stIn,perc_df,perc_2ndwon,perc_v_ace,perc_v_df,perc_v_1stwon,rank,hand_num,gender_num,ioc_num
1850,378,67.1957671957672,64.57564575645756,107.0,73.83177570093457,1998.0,193.0,108.64608204216408,14.31,75.83928254202908,4.74,54.38,9.16,5.17,70.24,72.0,1,1,33
1851,62,48.38709677419355,48.38709677419355,0.0,0.0,1993.0,172.13786827469158,62.34270833333333,2.39,51.73514160351017,16.07,36.87,0.67,3.13,14.96,979.0,1,0,74
1852,194,46.90721649484536,47.87234042553192,6.0,16.666666666666664,1980.0,185.0,86.79360930331805,12.36,70.9898192235405,10.01,46.61,12.06,7.04,68.07,194.0,1,1,29
1853,76,63.1578947368421,63.1578947368421,0.0,0.0,1996.0,170.0,60.09375,5.23,34.87391107325734,1.74,20.6,1.91,5.27,25.12,787.0,1,0,2
1854,53,41.50943396226416,41.50943396226416,0.0,0.0,1998.0,173.1818181818182,59.75806451612903,0.0,7.663782447466007,8.94,9.24,1.48,2.34,18.29,1035.0,1,0,90
1855,25,32.0,32.0,0.0,0.0,1990.0,172.13786827469158,79.87132352941177,3.5,54.10958904109589,4.41,35.93,3.28,7.34,51.46,231.0,1,0,48
1856,136,57.35294117647059,57.42574257425742,35.0,57.14285714285714,1994.0,176.5,64.23894783377541,1.43,65.77250924119568,9.47,51.62,2.45,6.52,43.15,421.0,1,0,32
1857,169,62.721893491124256,63.030303030303024,4.0,50.0,1984.0,178.0,98.07988918837977,8.53,70.238232986759,3.91,51.99,12.96,6.24,69.22,141.0,1,1,8
1858,271,53.874538745387454,53.24074074074075,55.0,56.36363636363636,1990.0,188.0,103.88909589041096,16.83,75.01185021330384,6.38,52.85,15.14,6.22,73.64,51.0,1,1,90
1859,29,34.48275862068966,34.48275862068966,0.0,0.0,1991.0,187.07692307692307,74.72631578947369,8.75,67.83876500857633,9.43,49.26,6.8,8.01,71.06,998.0,1,1,3
1860,265,49.0566037735849,50.98039215686274,61.0,42.62295081967213,1991.0,188.57142857142856,96.01324786324788,3.71,65.03078276165347,5.88,48.96,11.72,6.84,67.01,224.0,1,1,14
1861,119,55.46218487394958,50.74626865671642,52.0,61.53846153846154,1994.0,170.85714285714286,74.43682104059462,4.83,56.796382315316166,5.47,45.55,4.89,7.89,54.94,297.0,0,0,3
1862,54,38.88888888888889,38.46153846153847,15.0,40.0,1995.0,187.53125,105.75108225108224,12.44,69.23226166449277,5.9,52.97,14.8,7.88,72.91,679.0,2,1,90
1863,269,57.249070631970255,55.27426160337553,32.0,71.875,1995.0,172.13786827469158,69.86578204404292,2.27,56.447529603814026,8.4,41.45,2.72,6.8,47.02,214.0,1,0,46
1864,260,55.00000000000001,57.333333333333336,35.0,40.0,1986.0,169.0,89.44327894327894,1.95,60.30642156163592,6.59,46.85,6.23,8.25,60.92,67.0,1,0,84
1865,210,53.80952380952381,57.71812080536913,61.0,44.26229508196721,1997.0,183.8,98.55054283368308,3.19,63.19437468608739,5.96,48.63,7.99,7.56,64.91,243.0,1,1,39
1866,121,65.28925619834712,65.28925619834712,0.0,0.0,1996.0,172.13786827469158,62.85277275467149,0.07,55.4787991718257,1.55,43.05,1.96,4.74,32.69,560.0,2,0,46
1867,54,55.55555555555556,55.55555555555556,0.0,0.0,1991.0,172.13786827469158,60.66666666666667,0.0,23.205652658981037,3.57,11.71,1.09,3.81,27.61,593.0,1,0,46
1868,13,15.384615384615383,16.666666666666664,1.0,0.0,1995.0,183.8,90.3409090909091,5.25,58.82352941176471,4.83,44.33,17.58,8.28,74.75,1203.0,1,1,39
1869,241,58.09128630705395,55.02958579881657,72.0,65.27777777777779,1998.0,171.33333333333334,61.51403818953324,1.85,64.29756648989355,8.84,45.61,2.09,5.45,34.85,530.0,2,0,80
1870,113,58.4070796460177,57.54716981132076,7.0,71.42857142857143,1994.0,173.5,63.93488072211477,1.96,36.83769282360832,3.49,19.7,1.86,4.77,32.62,511.0,1,0,82
1871,82,47.5609756097561,47.5609756097561,0.0,0.0,1992.0,177.71428571428572,60.3953488372093,1.22,27.66382602525921,7.32,25.99,0.99,2.26,18.43,740.0,1,0,30
1872,200,59.0,61.40350877192983,29.0,44.82758620689656,1985.0,174.0,102.92765605622158,5.87,63.83376623376624,6.63,44.91,4.85,7.75,61.89,38.0,1,0,73
1873,147,53.06122448979592,53.103448275862064,2.0,50.0,1992.0,177.25,60.887402452619845,2.17,61.63167904160153,7.03,34.97,1.63,3.23,20.91,542.0,1,0,10
1874,16,50.0,50.0,0.0,0.0,1994.0,173.36363636363637,59.75,0.0,13.06715063520871,5.81,13.16,1.44,2.89,11.19,,2,0,29
