,name,num_matches,ratio,ratio_2016-2019,num_matches_2020-2021,ratio_2020-2021,hand,gender,ioc,birth,ht,minutes,perc_ace,_1stwon_1stIn,perc_df,perc_2ndwon,perc_v_ace,perc_v_df,perc_v_1stwon
0,AARON ADDISON,11,18.181818181818183,20.0,1.0,0.0,R,M,AUS,1996.0,187.07692307692307,86.69444444444444,14.98,68.35748792270532,12.32,47.78,8.82,5.88,75.79
1,ABBIE MYERS,157,47.77070063694268,47.88732394366197,15.0,46.666666666666664,R,F,AUS,1994.0,170.85714285714286,61.6219512195122,1.3,29.801525308255638,4.67,22.1,3.18,5.39,37.9
2,ABHINAV SANJEEV SHANMUGAM,16,50.0,46.15384615384615,3.0,66.66666666666666,U,M,IND,1998.0,183.8,86.875,20.59,71.88118811881188,10.89,51.65,7.12,10.1,70.86
4,ABIGAIL TERE APISAH,126,58.730158730158735,57.52212389380531,13.0,69.23076923076923,U,F,PNG,1992.0,172.13786827469158,63.20556133056134,3.32,57.93115669390391,11.42,54.16,3.76,7.94,47.32
5,ABIR EL FAHIMI,14,21.428571428571427,21.428571428571427,0.0,0.0,U,F,MAR,1995.0,172.13786827469158,49.40909090909091,0.0,20.185185185185187,16.3,17.2,0.51,2.55,11.88
6,ADAM EL MIHDAWY,23,26.08695652173913,26.08695652173913,0.0,0.0,U,M,USA,1989.0,187.53125,61.33823529411765,13.46,72.89048473967684,22.26,37.25,10.15,10.74,73.38
7,ADAM PAVLASEK,201,54.22885572139303,54.82233502538071,4.0,25.0,R,M,CZE,1994.0,190.375,92.12255684084563,10.44,68.30576585181753,5.64,50.33,5.68,6.97,67.03
10,ADELCHI VIRGILI,29,44.827586206896555,44.827586206896555,0.0,0.0,U,M,ITA,1990.0,185.7058823529412,87.79567307692308,8.63,69.0748898678414,12.6,45.27,4.6,8.43,65.36
19,ADRIAN ANDREEV,30,40.0,0.0,26.0,46.15384615384615,R,M,BUL,2001.0,188.0,100.30555555555556,3.43,61.73791170287316,7.15,47.56,9.92,5.73,69.52
20,ADRIAN BODMER,19,26.31578947368421,26.31578947368421,0.0,0.0,R,M,SUI,1995.0,182.83333333333331,83.52857142857144,11.41,70.03891050583657,6.49,48.78,9.13,8.24,72.75
21,ADRIAN MANNARINO,326,52.14723926380368,53.99239543726235,63.0,44.44444444444444,L,M,FRA,1988.0,183.0,104.64317496229262,10.35,69.94079655543595,5.53,51.37,13.94,6.2,70.04
22,ADRIAN MENENDEZ MACEIRAS,289,50.51903114186851,52.610441767068274,40.0,37.5,R,M,ESP,1985.0,182.65217391304347,102.13521410096752,9.29,69.56995948893736,4.87,51.1,13.77,7.28,70.45
23,ADRIAN UNGUR,69,44.927536231884055,44.927536231884055,0.0,0.0,R,M,ROU,1985.0,178.0,92.28522920203736,4.29,64.5574466014541,6.78,53.58,9.9,5.71,68.27
27,ADRIEN BOSSEL,50,46.0,46.0,0.0,0.0,L,M,SUI,1987.0,182.83333333333331,84.7842190016103,14.87,73.11557788944724,8.44,49.59,15.42,8.2,72.47
29,ADRIENN NAGY,90,45.55555555555556,46.51162790697674,47.0,44.680851063829785,R,F,HUN,2001.0,175.5,61.475111996017915,8.16,68.46672201894332,14.58,94.18,1.5,3.39,17.15
34,AGNES BUKTA,168,55.35714285714286,55.35714285714286,0.0,0.0,R,F,HUN,1993.0,175.5,60.16559139784946,2.93,44.225420244285885,6.99,30.74,1.72,4.45,28.92
35,AGNIESZKA RADWANSKA,144,64.58333333333334,64.58333333333334,0.0,0.0,R,F,POL,1989.0,170.0,99.05724225173941,5.31,64.58745874587459,4.11,46.08,5.35,8.15,60.22
37,AGUSTIN VELOTTI,159,49.685534591194966,50.0,31.0,48.38709677419355,R,M,ARG,1992.0,184.5,99.09620253164556,9.86,68.20744081172492,6.12,50.45,10.18,7.3,69.35
42,AIDAN MCHUGH,17,35.294117647058826,0.0,12.0,50.0,U,M,GBR,2000.0,183.42857142857144,116.27272727272728,8.03,65.11919698870766,5.9,46.49,8.51,7.45,70.61
47,AJLA TOMLJANOVIC,231,53.67965367965368,55.74712643678161,57.0,47.368421052631575,R,F,AUS,1993.0,180.0,92.35758968947844,7.27,65.0320684446775,10.57,44.29,7.22,8.86,61.86
49,AKARI INOUE,36,33.33333333333333,33.33333333333333,0.0,0.0,U,F,JPN,1988.0,163.83333333333334,60.35416666666667,0.0,35.865504358655045,19.43,33.06,1.46,3.73,23.62
50,AKGUL AMANMURADOVA,129,44.18604651162791,45.28301886792453,23.0,39.130434782608695,R,F,UZB,1984.0,172.13786827469158,62.39985380116959,5.54,57.58534543835923,5.8,29.49,2.99,6.61,44.68
54,AKIKO OMAE,201,50.74626865671642,52.71739130434783,17.0,29.411764705882355,R,F,JPN,1993.0,163.83333333333334,61.80496137849079,1.09,42.44508468577622,2.3,38.8,3.01,6.95,45.41
56,AKIRA SANTILLAN,232,49.56896551724138,50.256410256410255,37.0,45.94594594594595,R,M,AUS,1997.0,187.07692307692307,89.43147528799702,13.17,70.71451933434119,7.27,51.19,7.86,7.43,68.78
58,ALANA PARNABY,86,36.04651162790697,33.89830508474576,27.0,40.74074074074074,U,F,AUS,1994.0,170.85714285714286,60.20909090909091,5.89,27.346658526844074,14.73,24.19,1.44,3.45,22.96
61,ALASTAIR GRAY,11,9.090909090909092,0.0,4.0,25.0,R,M,GBR,1998.0,183.42857142857144,98.45,8.97,67.9372197309417,11.21,41.61,6.34,6.34,70.5
65,ALBANO OLIVETTI,77,48.05194805194805,48.05194805194805,0.0,0.0,R,M,FRA,1992.0,203.0,84.81182432432432,40.0,82.3372287145242,17.36,49.72,15.97,7.8,77.15
66,ALBERT MONTANES,53,49.056603773584904,49.056603773584904,0.0,0.0,R,M,ESP,1981.0,175.0,89.87606837606837,8.99,69.69411764705883,9.13,50.38,11.9,7.18,70.71
67,ALBERT RAMOS,326,51.533742331288344,52.67175572519084,64.0,46.875,L,M,ESP,1988.0,188.0,118.62827757685352,6.94,68.22481235125404,4.89,52.01,11.88,6.15,69.98
68,ALBERTA BRIANTI,49,44.89795918367347,44.89795918367347,0.0,0.0,R,F,ITA,1980.0,166.83333333333334,61.77777777777778,0.04,33.72818440841176,2.46,20.88,2.68,4.77,39.61
69,ALBERTO ROMERO DE AVILA SENISE,11,45.45454545454545,45.45454545454545,0.0,0.0,U,M,ESP,1998.0,182.65217391304347,83.8,2.79,62.66094420600859,6.22,50.0,11.99,7.01,65.84
71,ALDILA SUTJIADI,154,60.3896103896104,62.39316239316239,37.0,54.054054054054056,R,F,INA,1995.0,172.13786827469158,65.08760796756566,2.86,54.87648150792518,6.45,52.62,2.16,5.74,38.97
72,ALDIN SETKIC,182,41.75824175824176,42.3728813559322,5.0,20.0,R,M,BIH,1988.0,193.0,95.24553128103277,12.83,70.93619640621742,8.23,47.44,19.52,7.28,74.04
75,ALEJANDRO DAVIDOVICH FOKINA,208,61.53846153846154,63.1578947368421,75.0,58.666666666666664,R,M,ESP,1999.0,183.0,99.4578125,4.48,65.93946540880503,5.67,49.77,9.36,6.1,64.9
76,ALEJANDRO FALLA,72,43.05555555555556,43.05555555555556,0.0,0.0,L,M,COL,1984.0,185.0,93.94964594807239,5.68,65.34898085237802,6.86,48.53,11.25,8.29,68.26
77,ALEJANDRO GOMEZ GB42,64,45.3125,45.76271186440678,5.0,40.0,U,M,COL,1991.0,188.0,91.44630541871922,17.38,71.07469512195121,12.23,52.56,11.67,8.95,71.77
78,ALEJANDRO GONZALEZ,204,45.588235294117645,44.919786096256686,17.0,52.94117647058824,R,M,COL,1989.0,188.0,96.24106364428945,5.33,65.33721662508616,5.11,47.96,9.13,8.3,68.59
79,ALEJANDRO MENDOZA,19,5.263157894736842,6.25,3.0,0.0,R,M,BOL,1990.0,185.6747825006256,87.30555555555556,9.21,60.69078947368421,25.0,37.93,14.14,12.15,78.04
80,ALEJANDRO TABILO,139,53.956834532374096,51.61290322580645,77.0,55.84415584415584,L,M,CHI,1997.0,185.0,91.72437500000001,9.06,69.49991466120498,9.59,47.21,10.97,7.04,67.8
81,ALEKSANDAR KOVACEVIC,39,41.02564102564102,25.0,23.0,52.17391304347826,U,M,USA,1998.0,187.53125,99.00951086956522,17.09,74.24418604651163,9.01,51.69,18.02,6.9,75.08
82,ALEKSANDAR VUKIC,183,52.459016393442624,50.877192982456144,69.0,55.072463768115945,R,M,AUS,1996.0,187.07692307692307,91.16702586206897,19.13,74.07456547698024,6.87,49.32,12.21,7.2,71.3
83,ALEKSANDR NEDOVYESOV,220,50.90909090909091,51.21951219512195,15.0,46.666666666666664,R,M,KAZ,1987.0,188.4,93.60482804232804,8.08,68.64313140381365,5.09,48.15,7.58,7.39,68.11
86,ALEKSANDRA KRUNIC,248,54.83870967741935,52.97029702970298,46.0,63.04347826086957,R,F,SRB,1993.0,176.25,80.81512605042016,4.48,59.77203498083915,5.32,47.77,5.22,8.56,60.19
92,ALEKSANDRA WOZNIAK,70,48.57142857142857,48.57142857142857,0.0,0.0,R,F,CAN,1987.0,175.0,64.67728758169935,0.16,48.82955995155217,12.14,29.29,3.36,6.49,48.03
94,ALEKSANDRE METREVELI,31,35.483870967741936,40.0,6.0,16.666666666666664,R,M,GEO,1993.0,185.0,85.52045454545456,3.77,61.38891281057677,9.34,44.7,9.94,5.83,68.72
95,ALEKSANDRINA NAYDENOVA,197,52.28426395939086,52.28426395939086,0.0,0.0,R,F,BUL,1992.0,180.0,65.74540384218137,8.44,44.0844328631414,11.67,43.58,2.85,5.58,39.31
96,ALEN AVIDZBA,51,37.254901960784316,36.17021276595745,4.0,50.0,R,M,RUS,2000.0,187.26666666666668,100.91447368421052,11.02,70.05245588936576,9.16,50.19,11.73,7.19,71.78
103,ALESSANDRO BEGA,150,37.333333333333336,39.37007874015748,23.0,26.08695652173913,R,M,ITA,1991.0,185.7058823529412,87.84365501519757,3.51,64.36275254443264,6.0,47.15,16.32,6.94,70.88
104,ALESSANDRO GIANNESSI,309,53.72168284789643,54.43037974683544,72.0,51.388888888888886,L,M,ITA,1990.0,183.0,104.45107001432302,5.43,65.9516963586827,6.51,50.52,8.34,6.83,67.65
105,ALESSANDRO PETRONE,20,35.0,35.0,0.0,0.0,R,M,ITA,1991.0,185.7058823529412,103.07142857142857,4.5,64.75095785440614,4.89,44.16,12.22,8.5,69.94
112,ALEX BOLT,229,56.76855895196506,58.19209039548022,52.0,51.92307692307693,L,M,AUS,1993.0,187.07692307692307,90.79250194250194,16.29,72.53354799963451,5.71,51.41,11.31,6.8,70.45
113,ALEX DE MINAUR,272,60.29411764705882,61.61137440758294,61.0,55.73770491803278,R,M,AUS,1999.0,183.0,107.30984643179765,7.77,70.26642422325877,5.98,53.21,10.91,7.16,69.63
114,ALEX KUZNETSOV,29,65.51724137931035,65.51724137931035,0.0,0.0,R,M,USA,1987.0,183.0,112.13684210526316,14.16,73.92883079157589,3.41,50.46,10.89,8.7,69.31
115,ALEX LAWSON,18,16.666666666666664,17.647058823529413,1.0,0.0,L,M,USA,1994.0,191.0,79.1,10.52,64.80519480519482,10.0,44.04,7.91,8.7,71.94
116,ALEX MOLCAN,155,58.70967741935483,53.01204819277109,72.0,65.27777777777779,L,M,SVK,1998.0,189.28571428571428,98.75197458791209,5.86,66.05477855477857,7.2,50.18,7.81,6.89,64.4
117,ALEX RYBAKOV,65,49.23076923076923,43.75,17.0,64.70588235294117,U,M,USA,1997.0,187.53125,96.73295454545455,8.67,69.66327827191868,4.16,52.46,9.28,8.6,71.65
118,ALEXA GLATCH,80,47.5,51.92307692307693,28.0,39.285714285714285,R,F,USA,1989.0,173.1818181818182,65.15601503759399,5.38,56.36974789915966,4.37,54.71,4.43,8.06,57.32
120,ALEXA GUARACHI,81,41.9753086419753,42.5,1.0,0.0,U,F,USA,1990.0,173.1818181818182,68.18585732165207,3.64,55.45279154453151,9.48,42.62,4.02,7.35,48.91
121,ALEXA NOEL,34,58.82352941176471,52.17391304347826,11.0,72.72727272727273,U,F,USA,2002.0,173.1818181818182,60.60714285714286,0.0,15.486725663716813,3.1,28.65,2.64,4.7,25.85
125,ALEXANDAR LAZAROV,23,39.130434782608695,28.57142857142857,9.0,55.55555555555556,R,M,BUL,1998.0,188.0,82.57142857142857,7.43,64.4055792713633,7.96,49.85,12.35,7.26,69.39
126,ALEXANDAR LAZOV,32,53.125,53.125,0.0,0.0,U,M,BUL,1990.0,188.0,87.07058823529411,10.26,67.87687450670876,9.08,48.08,6.5,10.03,68.54
127,ALEXANDER BABANINE,17,41.17647058823529,41.17647058823529,0.0,0.0,R,M,AUS,1994.0,187.07692307692307,96.97142857142856,5.62,64.88340192043896,6.04,51.05,10.4,8.21,71.82
128,ALEXANDER BROWN,16,43.75,50.0,2.0,0.0,U,M,USA,1999.0,187.53125,78.02380952380952,17.79,73.04582210242587,8.49,53.65,14.98,7.7,77.18
129,ALEXANDER BUBLIK,328,56.70731707317073,58.36734693877551,83.0,51.80722891566265,R,M,KAZ,1997.0,196.0,88.32136907466304,23.92,74.70970239853143,14.2,46.09,8.43,6.45,69.28
130,ALEXANDER BURY,30,40.0,40.0,0.0,0.0,R,M,BLR,1987.0,194.5,68.19444444444444,13.28,67.95034787954242,6.43,47.8,7.6,8.72,72.28
131,ALEXANDER COZBINOV,11,18.181818181818183,0.0,7.0,28.57142857142857,R,M,MDA,1995.0,175.0,79.94444444444444,6.17,64.75770925110133,11.67,39.48,9.0,7.58,69.67
132,ALEXANDER CRNOKRAK,14,35.714285714285715,33.33333333333333,5.0,40.0,R,M,AUS,2000.0,187.07692307692307,82.72222222222223,17.2,70.60931899641577,11.47,47.16,14.56,9.88,70.88
133,ALEXANDER ERLER,34,44.11764705882353,41.17647058823529,17.0,47.05882352941176,U,M,AUT,1997.0,185.2,97.34210526315789,14.83,71.2751677852349,10.2,48.07,11.11,7.58,70.27
134,ALEXANDER KUDRYAVTSEV,83,43.373493975903614,43.373493975903614,0.0,0.0,R,M,RUS,1985.0,183.0,83.27482269503545,14.55,70.7167025530606,6.55,48.6,11.72,6.5,70.48
135,ALEXANDER RITSCHARD,90,50.0,47.05882352941176,39.0,53.84615384615385,R,M,SUI,1994.0,182.83333333333331,102.06666666666666,10.01,68.0135557872784,8.34,48.18,9.17,7.87,67.36
136,ALEXANDER SARKISSIAN,193,47.66839378238342,46.73913043478261,9.0,66.66666666666666,R,M,USA,1990.0,187.53125,88.92762591476539,13.86,69.41655014618024,7.08,50.79,14.15,8.13,71.12
137,ALEXANDER SHEVCHENKO,11,72.72727272727273,0.0,11.0,72.72727272727273,U,M,RUS,2001.0,187.26666666666668,98.3125,9.51,71.97943444730078,7.71,51.72,3.96,7.27,58.59
138,ALEXANDER VASILENKO,22,54.54545454545454,54.54545454545454,0.0,0.0,R,M,RUS,1995.0,187.26666666666668,101.18333333333334,7.55,67.48140276301807,9.88,52.04,7.87,8.51,68.72
139,ALEXANDER WARD,71,46.478873239436616,46.478873239436616,0.0,0.0,U,M,GBR,1990.0,183.42857142857144,91.76555023923444,11.67,71.26865671641791,8.55,49.39,10.18,6.61,71.15
140,ALEXANDER ZHURBIN,76,38.15789473684211,39.189189189189186,2.0,0.0,U,M,RUS,1992.0,187.26666666666668,83.47028613352899,7.15,63.44153797667822,6.21,46.56,7.72,8.05,68.57
141,ALEXANDER ZVEREV,378,70.63492063492063,69.20415224913495,89.0,75.28089887640449,R,M,GER,1997.0,198.0,117.6408037250734,16.52,74.23759967673473,8.29,49.35,8.78,5.92,68.31
142,ALEXANDR DOLGOPOLOV,101,52.475247524752476,52.475247524752476,0.0,0.0,R,M,UKR,1989.0,180.0,92.76061320754717,16.03,73.93604784909132,7.29,51.34,17.5,6.57,72.36
143,ALEXANDR IGOSHIN,24,29.166666666666668,31.818181818181817,2.0,0.0,U,M,RUS,1992.0,187.26666666666668,87.73949579831933,15.87,70.39106145251397,18.32,41.18,11.32,11.82,71.54
145,ALEXANDRA BOZOVIC,122,42.62295081967213,42.45283018867924,16.0,43.75,U,F,AUS,1999.0,170.85714285714286,60.292857142857144,0.09,21.59290671479429,5.2,22.77,2.51,4.72,38.41
146,ALEXANDRA CADANTU,249,53.81526104417671,50.256410256410255,54.0,66.66666666666666,R,F,ROU,1990.0,170.0,70.99523036988968,0.26,57.938838977194195,7.8,29.77,3.44,7.3,49.66
149,ALEXANDRA DULGHERU,141,56.73758865248227,56.03448275862068,25.0,60.0,R,F,ROU,1989.0,173.71428571428572,77.44887295081968,0.75,61.92799619813899,6.45,41.52,3.11,7.71,53.04
150,ALEXANDRA EALA,33,54.54545454545454,0.0,33.0,54.54545454545454,U,F,PHL,2005.0,172.13786827469158,64.00555555555556,2.52,46.72256097560975,20.35,41.43,2.11,5.75,35.13
156,ALEXANDRA MOROZOVA,39,43.58974358974359,43.58974358974359,0.0,0.0,R,F,USA,1995.0,173.1818181818182,60.36363636363636,2.52,31.890716454245432,7.56,21.74,3.37,3.71,25.24
159,ALEXANDRA PANOVA,89,47.19101123595505,47.19101123595505,0.0,0.0,R,F,RUS,1989.0,165.3125,71.12158054711247,6.13,61.75591644275106,3.92,40.8,3.68,6.58,46.14
162,ALEXANDRA RILEY,96,19.791666666666664,19.318181818181817,8.0,25.0,U,F,USA,1991.0,173.1818181818182,60.05844155844156,1.89,43.48146329486865,1.89,31.9,1.02,2.42,12.63
166,ALEXANDRA STEVENSON,24,33.33333333333333,33.33333333333333,0.0,0.0,R,F,USA,1981.0,173.1818181818182,62.75,9.2,38.14717309821057,12.36,30.86,3.18,5.36,33.52
167,ALEXANDRA VAGRAMOV,18,44.44444444444444,44.44444444444444,0.0,0.0,U,F,CAN,2001.0,172.75,65.25,6.05,35.301646798050776,9.56,31.74,2.08,3.24,26.94
169,ALEXANDRA VECIC,49,40.816326530612244,21.428571428571427,35.0,48.57142857142857,U,F,GER,2002.0,176.5,61.12068965517241,4.31,30.163447251114412,0.0,29.56,1.94,4.95,36.88
173,ALEXANDRE MULLER,191,50.78534031413613,50.81967213114754,69.0,50.72463768115942,R,M,FRA,1997.0,186.96153846153845,96.74912261460847,5.34,64.93660004298302,5.18,47.64,8.7,6.37,67.15
174,ALEXANDRE PENAUD,12,41.66666666666667,41.66666666666667,0.0,0.0,U,M,FRA,1987.0,186.96153846153845,74.72857142857143,12.27,70.13888888888889,4.63,48.62,14.74,6.41,71.15
175,ALEXANDRE SIDORENKO,42,47.61904761904761,47.61904761904761,0.0,0.0,R,M,FRA,1988.0,186.96153846153845,83.01363636363637,16.01,73.49403413733253,11.44,47.67,12.61,6.87,70.98
176,ALEXEI POPYRIN,228,54.824561403508774,56.12903225806451,73.0,52.054794520547944,R,M,AUS,1999.0,196.0,100.56046601941748,15.89,73.66858237547893,8.11,50.14,11.86,6.78,72.02
177,ALEXEY VATUTIN,280,45.357142857142854,50.45045045045045,58.0,25.862068965517242,R,M,RUS,1992.0,187.26666666666668,95.42699809582626,3.12,63.530225055687836,7.13,48.36,11.67,6.74,66.78
178,ALEXEY ZAKHAROV,17,35.294117647058826,37.5,9.0,33.33333333333333,R,M,RUS,2000.0,187.26666666666668,83.31818181818181,14.29,70.63492063492063,6.98,50.0,7.73,8.17,73.11
179,ALEXIOS HALEBIAN,29,37.93103448275862,37.93103448275862,0.0,0.0,L,M,USA,1994.0,187.53125,81.53787878787878,15.74,69.03553299492386,8.04,48.12,9.83,7.61,71.03
180,ALEXIS GALARNEAU,60,50.0,45.0,20.0,60.0,R,M,CAN,1999.0,188.57142857142856,97.88333333333333,7.2,67.45734498543487,8.82,50.51,10.86,9.33,67.66
181,ALEXIS GAUTIER,15,26.666666666666668,28.57142857142857,1.0,0.0,U,M,FRA,1997.0,186.96153846153845,73.63636363636363,8.86,68.14310051107326,7.33,42.51,16.37,8.78,73.45
183,ALEXIS MUSIALEK,19,42.10526315789473,42.10526315789473,0.0,0.0,U,M,FRA,1988.0,186.96153846153845,100.5284090909091,4.83,65.71969696969697,3.6,47.9,10.0,7.36,68.9
185,ALIAKSANDRA SASNOVICH,280,53.57142857142857,52.112676056338024,67.0,58.2089552238806,R,F,BLR,1994.0,177.25,97.59589743589743,5.34,61.866013588244584,10.33,43.29,7.13,9.06,62.05
198,ALICIA BARNETT,148,43.91891891891892,43.58974358974359,31.0,45.16129032258064,U,F,GBR,1993.0,177.71428571428572,59.93975903614458,1.29,12.914267932161195,6.46,11.79,1.75,3.29,24.23
203,ALINA CHARAEVA,77,59.74025974025974,63.1578947368421,58.0,58.620689655172406,R,F,RUS,2002.0,165.3125,60.98527349228611,2.46,65.31030585594752,9.35,36.56,1.61,4.71,24.14
212,ALIONA BOLSOVA,171,57.30994152046783,61.34453781512605,52.0,48.07692307692308,R,F,MDA,1997.0,172.13786827469158,75.94310875034947,4.32,56.14185522152353,4.1,41.88,2.86,6.14,51.19
214,ALISA KLEYBANOVA,22,68.18181818181817,68.18181818181817,0.0,0.0,R,F,RUS,1989.0,181.0,67.36666666666667,12.99,58.32349468713105,8.62,75.4,4.04,6.74,43.52
220,ALISON BAI,140,37.142857142857146,37.95620437956204,3.0,0.0,R,F,AUS,1990.0,170.85714285714286,61.25349650349651,9.24,47.160579506577186,5.03,39.31,2.82,5.42,42.24
221,ALISON RISKE,253,53.75494071146245,56.00000000000001,28.0,35.714285714285715,R,F,USA,1990.0,173.0,102.24016465560584,3.77,61.986110002394824,8.4,46.27,8.64,8.38,62.71
222,ALISON VAN UYTVANCK,253,55.73122529644269,57.56097560975609,48.0,47.91666666666667,R,F,BEL,1994.0,173.0,88.24195795339412,8.3,63.62629179703876,5.61,49.07,4.02,8.32,61.12
223,ALIZE CORNET,270,53.70370370370371,53.62318840579711,63.0,53.96825396825397,R,F,FRA,1990.0,173.0,104.86041379310345,3.33,62.59304703476482,9.28,42.87,2.76,7.54,59.71
224,ALIZE LIM,159,46.540880503144656,45.94594594594595,11.0,54.54545454545454,R,F,FRA,1990.0,173.36363636363637,64.7120826709062,0.15,54.16796183507591,6.62,23.38,3.36,6.79,45.11
225,ALJAZ BEDENE,262,58.01526717557252,60.09852216748769,59.0,50.847457627118644,R,M,SLO,1989.0,181.0,112.31106459330144,18.24,74.57691533795565,6.12,50.22,11.79,6.52,70.39
226,ALLA KUDRYAVTSEVA,80,47.5,47.5,0.0,0.0,R,F,RUS,1987.0,165.3125,77.4172932330827,5.29,54.232873144047936,9.4,41.49,4.12,7.51,54.87
227,ALLIE KIICK,175,55.42857142857143,59.333333333333336,25.0,32.0,R,F,USA,1995.0,173.1818181818182,66.74636531853027,3.57,48.90981808798865,7.44,38.42,3.94,7.04,51.59
231,ALONA FOMINA,117,48.717948717948715,49.56521739130435,2.0,0.0,R,F,UKR,1989.0,173.75,60.45,1.08,32.349381925472784,11.88,19.8,1.75,3.56,22.32
234,ALTUG CELIKBILEK,130,58.46153846153847,49.2063492063492,67.0,67.16417910447761,U,M,TUR,1996.0,190.0,87.86476608187135,13.88,71.41500474833808,9.31,48.34,11.06,7.18,68.54
235,ALYCIA PARKS,127,49.60629921259843,47.22222222222222,55.0,52.72727272727272,U,F,USA,2001.0,173.1818181818182,62.42807539682539,15.81,67.08913359650946,22.44,69.39,3.11,6.81,46.09
240,AMAL SULTANBEKOV,11,18.181818181818183,18.181818181818183,0.0,0.0,U,M,UZB,1999.0,192.0,93.97222222222223,6.3,59.16030534351145,18.51,44.72,17.12,8.88,72.52
241,AMANDA ANISIMOVA,160,60.62499999999999,64.86486486486487,49.0,51.02040816326531,R,F,USA,2001.0,180.0,81.45712649320896,3.18,63.05444295189011,7.47,46.9,5.3,8.93,59.31
242,AMANDA CARRERAS,208,62.980769230769226,65.77181208053692,59.0,55.932203389830505,R,F,GBR,1990.0,177.71428571428572,60.8986319024487,1.43,61.68407083002637,11.05,58.85,1.93,4.49,32.7
243,AMANDA RODGERS,62,45.16129032258064,45.16129032258064,0.0,0.0,L,F,USA,1993.0,173.1818181818182,60.63235294117647,2.28,27.27874314546575,6.83,19.26,1.92,3.6,23.64
245,AMANDINE HESSE,279,49.82078853046595,47.549019607843135,75.0,56.00000000000001,R,F,FRA,1993.0,173.36363636363637,69.30503597122302,8.26,54.91626595921074,9.59,53.58,3.69,6.97,51.54
247,AMARISSA KIARA TOTH,14,35.714285714285715,0.0,12.0,41.66666666666667,U,F,HUN,2003.0,175.5,63.22222222222222,0.0,38.230088495575224,7.96,30.72,1.81,4.45,25.7
248,AMARNI BANKS,26,46.15384615384615,33.33333333333333,23.0,47.82608695652174,R,F,GBR,2002.0,177.71428571428572,61.57142857142857,0.0,45.33333333333333,6.67,27.32,1.33,1.9,16.25
249,AMBER MARSHALL,46,58.69565217391305,58.620689655172406,17.0,58.82352941176471,U,F,AUS,2001.0,170.85714285714286,60.131578947368425,0.0,9.033280507131538,9.03,13.88,2.23,4.14,29.97
257,AMINA ANSHBA,247,59.91902834008097,61.37566137566137,58.0,55.172413793103445,L,F,RUS,1999.0,165.3125,60.90509828009828,2.63,45.59971611071682,4.37,42.7,2.01,5.2,32.4
260,AMINE AHOUDA,11,18.181818181818183,18.181818181818183,0.0,0.0,U,M,MAR,1997.0,185.0,87.88888888888889,2.24,63.305322128851536,13.45,41.75,8.4,7.09,71.38
261,AMIR WEINTRAUB,62,38.70967741935484,39.34426229508197,1.0,0.0,R,M,ISR,1986.0,188.0,76.79605263157895,7.95,64.51495258935084,4.41,45.93,14.8,7.87,72.78
264,AMRA SADIKOVIC,117,45.2991452991453,45.2991452991453,0.0,0.0,R,F,SUI,1989.0,171.33333333333334,68.77550117924528,7.59,54.28660573399099,9.39,48.85,4.31,7.56,51.94
266,AN SOPHIE MESTACH,109,47.706422018348626,47.706422018348626,0.0,0.0,R,F,BEL,1994.0,174.8,61.62280701754386,0.06,26.55327985051238,6.34,19.99,2.92,6.16,41.14
268,ANA BISKIC,53,35.84905660377358,35.84905660377358,0.0,0.0,U,F,CRO,1999.0,180.0,61.06191950464397,1.78,50.37147221214959,19.77,40.07,1.15,2.76,18.44
269,ANA BOGDAN,256,57.421875,58.490566037735846,44.0,52.27272727272727,R,F,ROU,1992.0,173.71428571428572,89.20732696748425,5.69,61.4008677942088,5.12,48.09,5.15,8.42,59.87
270,ANA FILIPA SANTOS,69,27.536231884057973,30.434782608695656,23.0,21.73913043478261,R,F,POR,1996.0,165.0,60.73315789473684,3.93,37.07787732598209,8.82,28.35,0.87,1.51,12.33
272,ANA IVANOVIC,31,48.38709677419355,48.38709677419355,0.0,0.0,R,F,SRB,1988.0,183.0,89.6125,6.29,65.95092024539878,10.2,42.31,8.02,7.94,63.15
273,ANA KONJUH,186,58.602150537634415,53.84615384615385,69.0,66.66666666666666,R,F,CRO,1998.0,180.0,88.01328488025736,10.21,67.8681437748802,13.35,46.63,5.59,8.94,63.24
281,ANA SOFIA SANCHEZ,296,51.35135135135135,52.42290748898678,69.0,47.82608695652174,L,F,MEX,1994.0,172.13786827469158,62.70741959064327,0.08,51.23878747877192,9.24,40.23,2.38,5.65,39.27
282,ANA VESELINOVIC,119,60.50420168067227,60.50420168067227,0.0,0.0,L,F,SRB,1988.0,176.25,59.91489361702128,0.02,13.79816513761468,1.74,9.68,2.05,5.25,29.79
283,ANA VRLJIC,100,43.0,43.0,0.0,0.0,R,F,CRO,1984.0,180.0,60.131578947368425,0.0,18.24973319103522,9.73,9.69,2.73,5.99,40.45
290,ANASTASIA DETIUC,212,56.60377358490566,59.32203389830508,35.0,42.857142857142854,U,F,MDA,1999.0,172.13786827469158,60.184782608695656,2.99,24.208597045908757,5.98,12.77,1.64,3.77,25.45
292,ANASTASIA FROLOVA,102,56.86274509803921,56.86274509803921,0.0,0.0,R,F,RUS,1994.0,165.3125,60.04545454545455,0.0,10.99312929419113,1.81,10.02,2.06,5.66,31.28
