,name,num_matches,ratio,ratio_2016-2019,num_matches_2020-2021,ratio_2020-2021,hand,gender,ioc,birth,ht,minutes,perc_ace,_1stwon_1stIn,perc_df,perc_2ndwon,perc_v_ace,perc_v_df,perc_v_1stwon
2592,MICHAELLA KRAJICEK,47,51.06382978723404,51.06382978723404,0.0,0.0,R,F,NED,1989.0,177.0,63.73913043478261,4.2,29.244935543278082,3.57,20.3,3.66,6.3,44.56
2593,MICHAIL PERVOLARAKIS,37,43.24324324324324,47.368421052631575,18.0,38.88888888888889,R,M,CYP,1996.0,183.0,92.39583333333334,7.6,66.64364640883977,8.43,49.09,11.51,8.25,69.35
2594,MICHAL DEMBEK,16,18.75,18.75,0.0,0.0,U,M,POL,1997.0,191.14285714285717,96.83333333333334,8.32,65.22462562396007,7.82,44.03,10.6,6.1,71.26
2595,MICHAL KONECNY,33,27.27272727272727,27.27272727272727,0.0,0.0,L,M,CZE,1989.0,190.375,85.76388888888889,11.28,68.69125090383224,10.56,47.63,8.92,7.7,72.18
2596,MICHAL PRZYSIEZNY,87,54.02298850574713,54.02298850574713,0.0,0.0,R,M,POL,1984.0,185.0,90.37712765957446,19.74,75.56728232189973,7.73,51.55,18.56,7.86,74.45
2597,MICHEL VERNIER,26,30.76923076923077,34.78260869565217,3.0,0.0,R,M,CHI,1992.0,185.0,96.96527777777777,4.37,66.39928698752227,5.7,50.32,6.73,7.66,68.82
2602,MICHELLE LARCHER DE BRITO,87,48.275862068965516,48.275862068965516,0.0,0.0,R,F,POR,1993.0,165.0,64.21269841269842,1.96,50.68785262434498,10.23,29.74,4.5,7.15,49.09
2603,MICHIKA OZEKI,161,45.3416149068323,47.10144927536232,23.0,34.78260869565217,U,F,JPN,1992.0,163.83333333333334,60.32954545454545,0.0,29.056502517070708,4.88,34.66,1.67,4.31,25.57
2605,MICK LESCURE,21,52.38095238095239,52.38095238095239,0.0,0.0,R,M,FRA,1993.0,186.96153846153845,90.08636363636364,11.01,72.9113924050633,14.18,47.71,6.05,9.25,66.67
2608,MIHAELA BUZARNESCU,242,57.85123966942148,59.80861244019139,33.0,45.45454545454545,L,F,ROU,1988.0,173.71428571428572,85.01757703081233,4.38,64.56767118180647,8.86,47.18,5.02,8.13,61.36
2609,MIHAELA DJAKOVIC,125,49.6,39.705882352941174,57.0,61.40350877192983,R,F,SRB,2001.0,176.25,60.05555555555556,2.36,15.328467153284672,5.9,17.6,0.63,1.85,13.5
2611,MIHARU IMANISHI,249,51.40562248995983,49.26829268292683,44.0,61.36363636363637,U,F,JPN,1992.0,163.83333333333334,64.9165805785124,0.03,52.77269657619813,3.59,35.52,2.46,5.73,38.4
2612,MIHIKA YADAV,58,39.6551724137931,40.38461538461539,6.0,33.33333333333333,U,F,IND,1999.0,172.13786827469158,60.05714285714286,0.0,12.396694214876034,4.13,28.06,1.76,3.76,21.97
2617,MIKAEL TORPEGAARD,156,55.769230769230774,60.36036036036037,45.0,44.44444444444444,R,M,DEN,1994.0,190.0,93.31659170414792,12.61,71.82087689187081,8.05,51.11,9.31,6.89,69.23
2618,MIKAEL YMER,251,63.745019920318725,65.96858638743456,60.0,56.666666666666664,R,M,SWE,1998.0,183.0,105.84292582417582,4.65,65.26525727961707,6.45,47.64,7.95,6.92,65.65
2619,MIKALAI HALIAK,11,18.181818181818183,20.0,1.0,0.0,R,M,BLR,1998.0,194.5,55.47222222222222,5.71,58.152173913043484,7.07,40.08,14.63,11.34,75.52
