,name,ratio,num_matches_2016-2019,ratio_2016-2019,num_matches_2020-2021,ratio_2020-2021,hand,gender,ioc,birth,ht,minutes,perc_ace,serv_won_tot_seve,bpFaced,perc_df,perc_2ndwon,perc_v_ace,perc_v_df,perc_v_1stwon
2579,MICHAEL LOOK,0.5,16.0,0.5,0.0,0.0,R,M,AUS,1987.0,187.07692307692307,72.25,12.79,0.6181061394380853,75.0,6.15,48.75,9.48,8.15,68.55
2580,MICHAEL MMOH,0.5612648221343873,212.0,0.5707547169811321,41.0,0.5121951219512195,R,M,USA,1998.0,187.53125,97.64753838345388,8.75,0.6225322354313042,1583.0,7.57,48.97,11.81,6.2,68.83
2581,MICHAEL REDLICKI,0.5,60.0,0.5166666666666667,16.0,0.4375,L,M,USA,1993.0,187.53125,93.63157894736842,11.65,0.6332513712880651,405.0,6.14,51.25,13.11,7.3,72.04
2582,MICHAEL VENUS,0.2,13.0,0.23076923076923078,2.0,0.0,R,M,NZL,1988.0,183.0,82.95833333333333,18.0,0.5985977212971078,118.0,14.17,43.99,16.83,7.85,75.64
2583,MICHAEL VRBENSKY,0.43859649122807015,11.0,0.36363636363636365,46.0,0.45652173913043476,R,M,CZE,2000.0,190.375,107.128125,6.92,0.5769407441433165,495.0,9.23,49.44,7.58,7.66,67.99
2584,MICHAEL ZHU,0.36363636363636365,11.0,0.36363636363636365,0.0,0.0,U,M,USA,1992.0,187.53125,86.96428571428572,3.14,0.5261845386533666,111.0,7.97,44.31,8.11,9.31,68.26
2585,MICHAELA BAYERLOVA,0.6307692307692307,93.0,0.6559139784946236,37.0,0.5675675675675675,U,F,CZE,1998.0,175.78571428571428,60.08333333333333,0.0,0.11966005665722379,480.0,4.2,7.72,1.37,3.18,18.28
2587,MICHAELA GORDON,0.2903225806451613,31.0,0.2903225806451613,0.0,0.0,U,F,USA,1999.0,173.1818181818182,81.83333333333334,1.3,0.5103092783505154,372.0,10.19,43.4,3.2,4.29,46.19
2588,MICHAELA HAET,0.625,32.0,0.625,0.0,0.0,R,F,AUS,1999.0,170.85714285714286,60.95833333333333,0.0,0.2029966167230546,72.0,2.74,23.84,1.29,4.37,29.01
2589,MICHAELA HONCOVA,0.46408839779005523,179.0,0.4692737430167598,2.0,0.0,R,F,SVK,1993.0,172.5,62.90292096219932,2.2,0.45634654611075814,1556.0,5.76,35.54,3.05,5.7,39.84
