,ratio,num_matches_2016-2019,ratio_2016-2019,num_matches_2020-2021,ratio_2020-2021,birth,ht,minutes,perc_ace,serv_won_tot_seve,bpFaced,perc_df,perc_2ndwon,perc_v_ace,perc_v_df,perc_v_1stwon,rank,hand_num,gender_num,ioc_num
716,0.5616883116883117,235.0,0.5787234042553191,73.0,0.5068493150684932,1994.0,185.0,94.36345536287732,13.7,0.6296989052247468,1946.0,6.83,50.13,9.3,6.33,68.58,238.0,1,1,42
717,0.3888888888888889,18.0,0.3888888888888889,0.0,0.0,1987.0,185.7058823529412,93.22727272727272,8.64,0.5549618320610687,147.0,6.17,46.13,7.31,6.38,67.55,244.0,1,1,42
718,0.53125,160.0,0.53125,0.0,0.0,1996.0,185.7058823529412,98.86980392156865,7.79,0.6158875156725775,1052.0,5.05,51.37,10.69,6.19,66.36,268.0,0,1,42
719,0.5454545454545454,33.0,0.5454545454545454,0.0,0.0,1992.0,185.0,93.03888888888888,10.03,0.6285971223021583,195.0,4.11,52.37,9.4,7.18,68.3,501.0,1,1,29
720,0.3666666666666666,30.0,0.3666666666666666,0.0,0.0,1990.0,185.2,81.45215311004785,13.4,0.6240290005178664,166.0,7.92,48.12,9.91,8.29,70.0,697.0,2,1,4
721,0.4375,30.0,0.4666666666666667,2.0,0.0,1996.0,190.25,88.56746031746032,8.53,0.6033970276008492,219.0,6.94,50.59,11.48,5.98,68.8,450.0,0,1,58
722,0.55,140.0,0.55,0.0,0.0,1983.0,193.0,109.07142857142856,29.83,0.6865513574399557,716.0,8.01,50.64,16.53,6.24,75.6,37.0,0,1,50
723,0.4851851851851851,218.0,0.5137614678899083,52.0,0.3653846153846153,1984.0,183.0,115.52122576747762,7.5,0.6074533101480165,2060.0,5.55,49.98,11.11,5.58,68.33,43.0,1,1,29
724,0.4137931034482758,19.0,0.3157894736842105,10.0,0.6,1998.0,185.7058823529412,88.09803921568627,8.03,0.6188042922841084,188.0,8.44,49.8,11.65,5.83,72.96,593.0,2,1,42
725,0.2666666666666666,30.0,0.2666666666666666,0.0,0.0,1983.0,193.0,90.4715909090909,6.41,0.5877721167207041,233.0,6.2,46.76,11.17,7.45,73.52,295.0,1,1,23
726,0.6013745704467354,235.0,0.6340425531914894,56.0,0.4642857142857143,1987.0,166.83333333333334,69.27783251231527,0.22,0.4957995116511977,2766.0,7.46,39.09,2.99,6.57,44.97,253.0,1,0,42
727,0.4615384615384615,13.0,0.4615384615384615,0.0,0.0,1996.0,166.83333333333334,66.14285714285714,2.05,0.3744333635539438,63.0,13.32,43.33,2.86,3.31,23.46,1159.0,1,0,42
728,0.5352112676056338,131.0,0.549618320610687,11.0,0.3636363636363636,1993.0,172.13786827469158,70.74641148325358,1.38,0.5273379376315392,1353.0,3.44,35.31,4.37,7.76,52.87,490.0,1,0,54
729,0.5340909090909091,28.0,0.5,60.0,0.55,2002.0,185.7058823529412,96.9862480539699,8.03,0.6265914585012087,566.0,4.37,52.2,6.47,6.17,68.1,368.0,0,1,42
730,0.4901960784313725,153.0,0.4901960784313725,0.0,0.0,1988.0,186.96153846153845,95.27589743589743,10.18,0.6119402985074627,1006.0,5.36,48.38,10.72,6.22,68.95,226.0,1,1,29
731,0.5536332179930796,258.0,0.5852713178294574,31.0,0.2903225806451613,1984.0,178.0,92.99144864341083,7.99,0.6252832791408021,1793.0,4.99,51.77,12.2,6.37,68.88,154.0,1,1,43
732,0.3684210526315789,175.0,0.3771428571428571,53.0,0.3396226415094339,1995.0,179.8,96.27876984126983,6.28,0.5949085830370746,1670.0,6.65,50.46,10.67,6.6,70.79,275.0,0,1,69
733,0.7058823529411765,17.0,0.7058823529411765,0.0,0.0,1992.0,185.6747825006256,87.375,7.55,0.6278175170207605,104.0,4.62,52.19,6.96,8.99,67.1,652.0,0,1,35
734,0.5212121212121212,157.0,0.5414012738853503,8.0,0.125,1989.0,193.0,95.237194583456,5.4,0.6178275791976395,1087.0,5.77,52.61,11.77,9.16,68.17,405.0,0,1,23
735,0.5188679245283019,94.0,0.5319148936170213,12.0,0.4166666666666667,1993.0,185.0,95.13244206773618,5.04,0.6125959248478433,694.0,5.27,51.97,8.28,6.04,68.09,412.0,1,1,15
736,0.492063492063492,47.0,0.4893617021276595,16.0,0.5,1995.0,184.5,101.6204637096774,5.01,0.5761529808773903,477.0,5.71,48.68,7.32,7.47,66.17,512.0,1,1,2
737,0.3333333333333333,5.0,0.2,7.0,0.4285714285714285,2001.0,187.53125,96.875,5.58,0.5620347394540943,100.0,4.34,46.89,10.74,6.95,69.05,584.0,1,1,90
738,0.5583333333333333,175.0,0.56,65.0,0.5538461538461539,1998.0,174.71428571428572,60.07075471698113,0.01,0.2083154209912178,1060.0,2.0,20.5,1.37,4.18,23.65,529.0,2,0,44
739,0.5643153526970954,184.0,0.5652173913043478,57.0,0.5614035087719298,1994.0,173.1818181818182,68.01039915966388,1.43,0.506080553386143,1675.0,3.01,39.92,4.38,7.11,53.43,225.0,1,0,90
740,0.6363636363636364,191.0,0.6701570680628273,73.0,0.547945205479452,1997.0,174.8,73.37946428571428,6.81,0.5323984017516306,1856.0,6.32,48.98,3.67,6.85,45.44,325.0,1,0,8
741,0.5,48.0,0.5,0.0,0.0,1989.0,190.0,99.125,14.0,0.6227943303442292,350.0,8.91,49.59,10.2,8.71,71.03,700.0,1,1,3
742,0.5119047619047619,84.0,0.5119047619047619,0.0,0.0,1986.0,183.0,86.15570051049347,18.98,0.6274269417811429,511.0,7.13,49.1,11.75,6.91,71.79,166.0,1,1,77
743,0.5525291828793775,191.0,0.5549738219895288,66.0,0.5454545454545454,1994.0,183.0,92.51821800367422,11.71,0.6301413007822062,1733.0,5.77,50.19,12.83,6.82,70.45,176.0,1,1,29
744,0.4736842105263157,57.0,0.4736842105263157,0.0,0.0,1993.0,186.96153846153845,86.26851851851852,5.41,0.5898593044863286,380.0,8.02,48.68,6.43,5.4,66.09,445.0,2,1,29
745,0.5394736842105263,69.0,0.5507246376811594,7.0,0.4285714285714285,1979.0,175.5,67.23344947735191,10.84,0.5971920937276793,607.0,12.57,50.08,4.62,8.04,53.8,426.0,1,0,37
